stock;abs_delta;abs_perc;volume;open;high;low;close;date;index
Fugro;0.07;2.23;1263963;3.216;3.322;3.21;3.228;2020-09-28 23:30:45;AMX
GrandVision;0.2;0.85;41929;23.2;24.1;23.2;23.65;2020-09-28 23:30:45;AMX
Intertrust;0.46;3.22;20068;14.68;15.2;14.46;14.3;2020-09-28 23:30:45;AMX
NSI;0.15;0.52;10882;29.0;29.35;29.0;29.05;2020-09-28 23:30:45;AMX
OCI;0.28;2.74;284417;10.42;10.49;10.28;10.21;2020-09-28 23:30:45;AMX
Pharming Group;0.05;5.13;7185954;0.933;0.98;0.933;0.919;2020-09-28 23:30:45;AMX
PostNL Koninklijke;0.04;1.36;2477032;2.606;2.634;2.594;2.58;2020-09-28 23:30:45;AMX
SBM Offshore;0.5;3.86;322395;13.05;13.45;12.99;12.95;2020-09-28 23:30:45;AMX
SIGNIFY NV;1.25;4.17;516497;30.5;31.23;30.28;29.98;2020-09-28 23:30:45;AMX
TKH Group;0.82;2.72;49887;30.4;31.04;30.4;30.18;2020-09-28 23:30:45;AMX
Vopak Koninklijke;-0.22;-0.45;422987;49.01;49.26;48.49;48.96;2020-09-28 23:30:45;AMX
WDP;0.28;0.93;177744;30.1;30.64;30.04;29.98;2020-09-28 23:30:45;AMX
AMX;16.2;2.06;0;793.85;801.25;792.05;801.25;2020-09-28 00:08:14;AMX
